Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_01_1976.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_02_1977.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_03_1978.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_04_1979.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_05_1980.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_06_1981.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_07_1982.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_08_1983.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_09_1984.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_10_1985.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_11_1986.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_12_1987.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_13_1988.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_14_1989.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_15_1990.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_16_1991.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_17_1992.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_18_1993.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_19_2003.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_20_2004.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_21_2005.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_22_2006.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_23_2007.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_24_2008.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_25_1950.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_26_1951.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_27_1952.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_28_1953.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_29_1954.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_30_1955.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_31_1956.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_32_1957.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_33_1958.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_34_1959.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_35_1960.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_36_1961.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_37_1962.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_38_1963.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_39_1964.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_40_1965.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_41_1966.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_42_1967.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_43_1968.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_44_1969.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_45_1970.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_46_1971.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_47_1972.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_48_1973.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_49_1974.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_50_1975.d
A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10								11356.6																	3000.83				20651.2				64261																	
A0A075B6S6;P06310	A0A075B6S6;P06310	KV230_HUMAN;KVD30_HUMAN	IGKV2-30;IGKV2D-30	Immunoglobulin kappa variable 2D-30		59971.8			1288.07	868.466				1381.52	664.645	1127.5	1414.64			1953.62		47085.9	8868.71	1970.44	1024.3				764.14		81573.1		999.968	1808.05		990.304		1118.22						2218.01	104726	1264.12			1655.24			1457.09	1109.02	1051.01
A0A087X1C5;P10635	A0A087X1C5;P10635	CP2D6_HUMAN;CP2D7_HUMAN	CYP2D6;CYP2D7	Putative cytochrome P450 2D7	19530.4	8922.77	18069.1	24286.3		17332.5	6881.64	17713.9	2736.57	2598.01	6705.87	26488.1	8761.45	4576.95	13919.9	18676.7	21919.6	25312.3	25821.8	20899.9	18680.5		5560.58	4175.39	21602.9	15158.9	19462	1890.75	17273.5		9551.68	3751.11	8109.64	8103.8	7921.8	2275.89	5472.34	17985.3	22347.1	4040.7	21798.6	2576.96	17569.3	10251	6779.87	12354.3	16263.6	11844.7	17788.7	6376.08
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21												2213.17													387.128								400.014															179265		
A0A0A0MTA4	A0A0A0MTA4	TJB25_HUMAN	TRBJ2-5	T cell receptor beta joining 2-5																																																	7559.02	
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26														3946.93																																				
A0A0B4J1X8	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43										1793.75									24686.3								37658.6		1492.1	2238.48	1557.46	51120.3		12790							30976						10668.3	66648		
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	106476	39272.4	73287.4	87995.1	38571	72597	71258.5	113687	45211.5	63491	53121.8	86124.1	65159.8	71086.1	83664.9	107676	98445.2	73490.9	100209	66823.7	70583.9	26856.1	34446.8	22252	75383.2	92714.7	65315.7	41701.6	78506.9	30186.4	59224.6	59039.7	78935.1	68543.6	54838.1	64621.8	71017.7	85602.8	65569.7	43262.4	89854.7	36058.7	73707.1	68662.9	64299.6	78581.1	103348	69351.6	68704.3	40734
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	9041.25	9651.54	9701.11	9441.58	8283.27	7393.82	6834.72	9214.13	9396.4	12538.9	7346.9	7415.34	8326.17	8101.63	6330.97	7461.83	7557.1	5935.04	5984.42	3605.75		6999.42	6239.56	5653.24	9323.11	7506.38	9151.84	9077.38	9954.54	8383.08	9516.88	7606.92	10133.6	8821.21	9863.67	16515.5	9304.85	8594.96	7870.85	11342.7	6720.49	7850.66	10774.3	9284.64	5594.66	9266.69	7210.51	10321.6	8720.23	7650.84
A0A0B4J2H0	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D								81429.4		462323	6463.2											8529.69			26822.8								105248						54829.1	33559.7			41031.9						52905.9	99066.4
A0A0C4DH29	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3																									25913.2																									
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18													3020.86		18088.8	3378.35				1161.74																	931.079	707.007	1040.13		1343.28									
